START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/26/14,01:05 PM,01:05 PM,Pirates at Twins,Hammond Stadium,"Local Radio: MLB.com",03/26/14,03/26/14,04:05 PM,04:05 PM,FALSE,TRUE,03/26/14,12:05 PM,12:05 PM,FREE,BUSY
03/27/14,01:05 PM,01:05 PM,Yankees at Pirates,McKechnie Field,"Local TV: MLBN (delay) ----- Local Radio: MLB.com",03/27/14,03/27/14,04:05 PM,04:05 PM,FALSE,TRUE,03/27/14,12:05 PM,12:05 PM,FREE,BUSY
03/28/14,07:05 PM,07:05 PM,Pirates at Phillies,Citizens Bank Park,"Local Radio: KDKA-FM 93.7",03/28/14,03/28/14,10:05 PM,10:05 PM,FALSE,TRUE,03/28/14,06:05 PM,06:05 PM,FREE,BUSY
03/29/14,01:05 PM,01:05 PM,Pirates at Phillies,Citizens Bank Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",03/29/14,03/29/14,04:05 PM,04:05 PM,FALSE,TRUE,03/29/14,12:05 PM,12:05 PM,FREE,BUSY
03/31/14,01:05 PM,01:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS -- ESPN ----- Local Radio: KDKA-FM 93.7",03/31/14,03/31/14,04:05 PM,04:05 PM,FALSE,TRUE,03/31/14,12:05 PM,12:05 PM,FREE,BUSY
04/02/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/02/14,04/02/14,10:05 PM,10:05 PM,FALSE,TRUE,04/02/14,06:05 PM,06:05 PM,FREE,BUSY
04/03/14,12:35 PM,12:35 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",04/03/14,04/03/14,03:35 PM,03:35 PM,FALSE,TRUE,04/03/14,11:35 AM,11:35 AM,FREE,BUSY
04/04/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: MLBN -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/04/14,04/04/14,10:05 PM,10:05 PM,FALSE,TRUE,04/04/14,06:05 PM,06:05 PM,FREE,BUSY
04/05/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: MLBN ----- Local Radio: KDKA-FM 93.7",04/05/14,04/05/14,10:05 PM,10:05 PM,FALSE,TRUE,04/05/14,06:05 PM,06:05 PM,FREE,BUSY
04/06/14,01:35 PM,01:35 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/06/14,04/06/14,04:35 PM,04:35 PM,FALSE,TRUE,04/06/14,12:35 PM,12:35 PM,FREE,BUSY
04/08/14,08:05 PM,08:05 PM,Pirates at Cubs,Wrigley Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/08/14,04/08/14,11:05 PM,11:05 PM,FALSE,TRUE,04/08/14,07:05 PM,07:05 PM,FREE,BUSY
04/09/14,08:05 PM,08:05 PM,Pirates at Cubs,Wrigley Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/09/14,04/09/14,11:05 PM,11:05 PM,FALSE,TRUE,04/09/14,07:05 PM,07:05 PM,FREE,BUSY
04/10/14,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",04/10/14,04/10/14,05:20 PM,05:20 PM,FALSE,TRUE,04/10/14,01:20 PM,01:20 PM,FREE,BUSY
04/11/14,08:10 PM,08:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/11/14,04/11/14,11:10 PM,11:10 PM,FALSE,TRUE,04/11/14,07:10 PM,07:10 PM,FREE,BUSY
04/12/14,07:10 PM,07:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/12/14,04/12/14,10:10 PM,10:10 PM,FALSE,TRUE,04/12/14,06:10 PM,06:10 PM,FREE,BUSY
04/13/14,02:10 PM,02:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/13/14,04/13/14,05:10 PM,05:10 PM,FALSE,TRUE,04/13/14,01:10 PM,01:10 PM,FREE,BUSY
04/14/14,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/14/14,04/14/14,10:10 PM,10:10 PM,FALSE,TRUE,04/14/14,06:10 PM,06:10 PM,FREE,BUSY
04/15/14,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",04/15/14,04/15/14,10:10 PM,10:10 PM,FALSE,TRUE,04/15/14,06:10 PM,06:10 PM,FREE,BUSY
04/16/14,12:35 PM,12:35 PM,Pirates at Reds,Great American Ball Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",04/16/14,04/16/14,03:35 PM,03:35 PM,FALSE,TRUE,04/16/14,11:35 AM,11:35 AM,FREE,BUSY
04/17/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: MLBN -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/17/14,04/17/14,10:05 PM,10:05 PM,FALSE,TRUE,04/17/14,06:05 PM,06:05 PM,FREE,BUSY
04/18/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/18/14,04/18/14,10:05 PM,10:05 PM,FALSE,TRUE,04/18/14,06:05 PM,06:05 PM,FREE,BUSY
04/19/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/19/14,04/19/14,10:05 PM,10:05 PM,FALSE,TRUE,04/19/14,06:05 PM,06:05 PM,FREE,BUSY
04/20/14,01:35 PM,01:35 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/20/14,04/20/14,04:35 PM,04:35 PM,FALSE,TRUE,04/20/14,12:35 PM,12:35 PM,FREE,BUSY
04/21/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,"Local Radio: KDKA-FM 93.7",04/21/14,04/21/14,10:05 PM,10:05 PM,FALSE,TRUE,04/21/14,06:05 PM,06:05 PM,FREE,BUSY
04/22/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/22/14,04/22/14,10:05 PM,10:05 PM,FALSE,TRUE,04/22/14,06:05 PM,06:05 PM,FREE,BUSY
04/23/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/23/14,04/23/14,10:05 PM,10:05 PM,FALSE,TRUE,04/23/14,06:05 PM,06:05 PM,FREE,BUSY
04/24/14,12:35 PM,12:35 PM,Reds at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",04/24/14,04/24/14,03:35 PM,03:35 PM,FALSE,TRUE,04/24/14,11:35 AM,11:35 AM,FREE,BUSY
04/25/14,08:15 PM,08:15 PM,Pirates at Cardinals,Busch Stadium,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",04/25/14,04/25/14,11:15 PM,11:15 PM,FALSE,TRUE,04/25/14,07:15 PM,07:15 PM,FREE,BUSY
04/26/14,04:05 PM,04:05 PM,Pirates at Cardinals,Busch Stadium,"Local TV: FS1 -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/26/14,04/26/14,07:05 PM,07:05 PM,FALSE,TRUE,04/26/14,03:05 PM,03:05 PM,FREE,BUSY
04/27/14,02:15 PM,02:15 PM,Pirates at Cardinals,Busch Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/27/14,04/27/14,05:15 PM,05:15 PM,FALSE,TRUE,04/27/14,01:15 PM,01:15 PM,FREE,BUSY
04/29/14,07:05 PM,07:05 PM,Pirates at Orioles,Oriole Park at Camden Yards,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/29/14,04/29/14,10:05 PM,10:05 PM,FALSE,TRUE,04/29/14,06:05 PM,06:05 PM,FREE,BUSY
04/30/14,07:05 PM,07:05 PM,Pirates at Orioles,Oriole Park at Camden Yards,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/30/14,04/30/14,10:05 PM,10:05 PM,FALSE,TRUE,04/30/14,06:05 PM,06:05 PM,FREE,BUSY
05/02/14,07:05 PM,07:05 PM,Blue Jays at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/02/14,05/02/14,10:05 PM,10:05 PM,FALSE,TRUE,05/02/14,06:05 PM,06:05 PM,FREE,BUSY
05/03/14,07:05 PM,07:05 PM,Blue Jays at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/03/14,05/03/14,10:05 PM,10:05 PM,FALSE,TRUE,05/03/14,06:05 PM,06:05 PM,FREE,BUSY
05/04/14,01:35 PM,01:35 PM,Blue Jays at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/04/14,05/04/14,04:35 PM,04:35 PM,FALSE,TRUE,05/04/14,12:35 PM,12:35 PM,FREE,BUSY
05/05/14,07:05 PM,07:05 PM,Giants at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/05/14,05/05/14,10:05 PM,10:05 PM,FALSE,TRUE,05/05/14,06:05 PM,06:05 PM,FREE,BUSY
05/06/14,07:05 PM,07:05 PM,Giants at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/06/14,05/06/14,10:05 PM,10:05 PM,FALSE,TRUE,05/06/14,06:05 PM,06:05 PM,FREE,BUSY
05/07/14,12:35 PM,12:35 PM,Giants at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/07/14,05/07/14,03:35 PM,03:35 PM,FALSE,TRUE,05/07/14,11:35 AM,11:35 AM,FREE,BUSY
05/09/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/09/14,05/09/14,10:05 PM,10:05 PM,FALSE,TRUE,05/09/14,06:05 PM,06:05 PM,FREE,BUSY
05/10/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/10/14,05/10/14,10:05 PM,10:05 PM,FALSE,TRUE,05/10/14,06:05 PM,06:05 PM,FREE,BUSY
05/11/14,08:05 PM,08:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ESPN ----- Local Radio: KDKA-FM 93.7",05/11/14,05/11/14,11:05 PM,11:05 PM,FALSE,TRUE,05/11/14,07:05 PM,07:05 PM,FREE,BUSY
05/13/14,08:10 PM,08:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/13/14,05/13/14,11:10 PM,11:10 PM,FALSE,TRUE,05/13/14,07:10 PM,07:10 PM,FREE,BUSY
05/14/14,08:10 PM,08:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/14/14,05/14/14,11:10 PM,11:10 PM,FALSE,TRUE,05/14/14,07:10 PM,07:10 PM,FREE,BUSY
05/15/14,01:10 PM,01:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/15/14,05/15/14,04:10 PM,04:10 PM,FALSE,TRUE,05/15/14,12:10 PM,12:10 PM,FREE,BUSY
05/16/14,07:05 PM,07:05 PM,Pirates at Yankees,Yankee Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/16/14,05/16/14,10:05 PM,10:05 PM,FALSE,TRUE,05/16/14,06:05 PM,06:05 PM,FREE,BUSY
05/17/14,04:05 PM,04:05 PM,Pirates at Yankees,Yankee Stadium,"Local TV: FS1 -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/17/14,05/17/14,07:05 PM,07:05 PM,FALSE,TRUE,05/17/14,03:05 PM,03:05 PM,FREE,BUSY
05/18/14,01:05 PM,01:05 PM,Pirates at Yankees,Yankee Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/18/14,05/18/14,04:05 PM,04:05 PM,FALSE,TRUE,05/18/14,12:05 PM,12:05 PM,FREE,BUSY
05/20/14,07:05 PM,07:05 PM,Orioles at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/20/14,05/20/14,10:05 PM,10:05 PM,FALSE,TRUE,05/20/14,06:05 PM,06:05 PM,FREE,BUSY
05/21/14,07:05 PM,07:05 PM,Orioles at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/21/14,05/21/14,10:05 PM,10:05 PM,FALSE,TRUE,05/21/14,06:05 PM,06:05 PM,FREE,BUSY
05/22/14,07:05 PM,07:05 PM,Nationals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/22/14,05/22/14,10:05 PM,10:05 PM,FALSE,TRUE,05/22/14,06:05 PM,06:05 PM,FREE,BUSY
05/23/14,07:05 PM,07:05 PM,Nationals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/23/14,05/23/14,10:05 PM,10:05 PM,FALSE,TRUE,05/23/14,06:05 PM,06:05 PM,FREE,BUSY
05/24/14,07:15 PM,07:15 PM,Nationals at Pirates,PNC Park,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",05/24/14,05/24/14,10:15 PM,10:15 PM,FALSE,TRUE,05/24/14,06:15 PM,06:15 PM,FREE,BUSY
05/25/14,01:35 PM,01:35 PM,Nationals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/25/14,05/25/14,04:35 PM,04:35 PM,FALSE,TRUE,05/25/14,12:35 PM,12:35 PM,FREE,BUSY
05/26/14,01:10 PM,01:10 PM,Pirates at Mets,Citi Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/26/14,05/26/14,04:10 PM,04:10 PM,FALSE,TRUE,05/26/14,12:10 PM,12:10 PM,FREE,BUSY
05/27/14,07:10 PM,07:10 PM,Pirates at Mets,Citi Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/27/14,05/27/14,10:10 PM,10:10 PM,FALSE,TRUE,05/27/14,06:10 PM,06:10 PM,FREE,BUSY
05/28/14,01:10 PM,01:10 PM,Pirates at Mets,Citi Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/28/14,05/28/14,04:10 PM,04:10 PM,FALSE,TRUE,05/28/14,12:10 PM,12:10 PM,FREE,BUSY
05/29/14,10:10 PM,10:10 PM,Pirates at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/30/14,05/30/14,01:10 AM,01:10 AM,FALSE,TRUE,05/29/14,09:10 PM,09:10 PM,FREE,BUSY
05/30/14,10:10 PM,10:10 PM,Pirates at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/31/14,05/31/14,01:10 AM,01:10 AM,FALSE,TRUE,05/30/14,09:10 PM,09:10 PM,FREE,BUSY
05/31/14,07:15 PM,07:15 PM,Pirates at Dodgers,Dodger Stadium,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",05/31/14,05/31/14,10:15 PM,10:15 PM,FALSE,TRUE,05/31/14,06:15 PM,06:15 PM,FREE,BUSY
06/01/14,03:33 AM,03:33 AM,Pirates at Dodgers,Dodger Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/01/14,06/01/14,06:33 AM,06:33 AM,FALSE,TRUE,06/01/14,02:33 AM,02:33 AM,FREE,BUSY
06/02/14,10:10 PM,10:10 PM,Pirates at Padres,Petco Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/03/14,06/03/14,01:10 AM,01:10 AM,FALSE,TRUE,06/02/14,09:10 PM,09:10 PM,FREE,BUSY
06/03/14,10:10 PM,10:10 PM,Pirates at Padres,Petco Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/04/14,06/04/14,01:10 AM,01:10 AM,FALSE,TRUE,06/03/14,09:10 PM,09:10 PM,FREE,BUSY
06/04/14,06:40 PM,06:40 PM,Pirates at Padres,Petco Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/04/14,06/04/14,09:40 PM,09:40 PM,FALSE,TRUE,06/04/14,05:40 PM,05:40 PM,FREE,BUSY
06/06/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/06/14,06/06/14,10:05 PM,10:05 PM,FALSE,TRUE,06/06/14,06:05 PM,06:05 PM,FREE,BUSY
06/07/14,04:05 PM,04:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/07/14,06/07/14,07:05 PM,07:05 PM,FALSE,TRUE,06/07/14,03:05 PM,03:05 PM,FREE,BUSY
06/08/14,01:35 PM,01:35 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/08/14,06/08/14,04:35 PM,04:35 PM,FALSE,TRUE,06/08/14,12:35 PM,12:35 PM,FREE,BUSY
06/09/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/09/14,06/09/14,10:05 PM,10:05 PM,FALSE,TRUE,06/09/14,06:05 PM,06:05 PM,FREE,BUSY
06/10/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/10/14,06/10/14,10:05 PM,10:05 PM,FALSE,TRUE,06/10/14,06:05 PM,06:05 PM,FREE,BUSY
06/11/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/11/14,06/11/14,10:05 PM,10:05 PM,FALSE,TRUE,06/11/14,06:05 PM,06:05 PM,FREE,BUSY
06/12/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/12/14,06/12/14,10:05 PM,10:05 PM,FALSE,TRUE,06/12/14,06:05 PM,06:05 PM,FREE,BUSY
06/13/14,07:10 PM,07:10 PM,Pirates at Marlins,Marlins Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/13/14,06/13/14,10:10 PM,10:10 PM,FALSE,TRUE,06/13/14,06:10 PM,06:10 PM,FREE,BUSY
06/14/14,04:10 PM,04:10 PM,Pirates at Marlins,Marlins Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/14/14,06/14/14,07:10 PM,07:10 PM,FALSE,TRUE,06/14/14,03:10 PM,03:10 PM,FREE,BUSY
06/15/14,01:10 PM,01:10 PM,Pirates at Marlins,Marlins Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/15/14,06/15/14,04:10 PM,04:10 PM,FALSE,TRUE,06/15/14,12:10 PM,12:10 PM,FREE,BUSY
06/17/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/17/14,06/17/14,10:05 PM,10:05 PM,FALSE,TRUE,06/17/14,06:05 PM,06:05 PM,FREE,BUSY
06/18/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/18/14,06/18/14,10:05 PM,10:05 PM,FALSE,TRUE,06/18/14,06:05 PM,06:05 PM,FREE,BUSY
06/19/14,12:35 PM,12:35 PM,Reds at Pirates,PNC Park,"Local Radio: KDKA-FM 93.7",06/19/14,06/19/14,03:35 PM,03:35 PM,FALSE,TRUE,06/19/14,11:35 AM,11:35 AM,FREE,BUSY
06/20/14,04:05 PM,04:05 PM,Pirates at Cubs,Wrigley Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/20/14,06/20/14,07:05 PM,07:05 PM,FALSE,TRUE,06/20/14,03:05 PM,03:05 PM,FREE,BUSY
06/21/14,07:15 PM,07:15 PM,Pirates at Cubs,Wrigley Field,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",06/21/14,06/21/14,10:15 PM,10:15 PM,FALSE,TRUE,06/21/14,06:15 PM,06:15 PM,FREE,BUSY
06/22/14,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/22/14,06/22/14,05:20 PM,05:20 PM,FALSE,TRUE,06/22/14,01:20 PM,01:20 PM,FREE,BUSY
06/23/14,07:10 PM,07:10 PM,Pirates at Rays,Tropicana Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/23/14,06/23/14,10:10 PM,10:10 PM,FALSE,TRUE,06/23/14,06:10 PM,06:10 PM,FREE,BUSY
06/24/14,07:10 PM,07:10 PM,Pirates at Rays,Tropicana Field,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/24/14,06/24/14,10:10 PM,10:10 PM,FALSE,TRUE,06/24/14,06:10 PM,06:10 PM,FREE,BUSY
06/25/14,12:10 PM,12:10 PM,Pirates at Rays,Tropicana Field,"Local Radio: KDKA-FM 93.7",06/25/14,06/25/14,03:10 PM,03:10 PM,FALSE,TRUE,06/25/14,11:10 AM,11:10 AM,FREE,BUSY
06/26/14,07:05 PM,07:05 PM,Mets at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/26/14,06/26/14,10:05 PM,10:05 PM,FALSE,TRUE,06/26/14,06:05 PM,06:05 PM,FREE,BUSY
06/27/14,07:05 PM,07:05 PM,Mets at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/27/14,06/27/14,10:05 PM,10:05 PM,FALSE,TRUE,06/27/14,06:05 PM,06:05 PM,FREE,BUSY
06/28/14,04:05 PM,04:05 PM,Mets at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/28/14,06/28/14,07:05 PM,07:05 PM,FALSE,TRUE,06/28/14,03:05 PM,03:05 PM,FREE,BUSY
06/29/14,01:35 PM,01:35 PM,Mets at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/29/14,06/29/14,04:35 PM,04:35 PM,FALSE,TRUE,06/29/14,12:35 PM,12:35 PM,FREE,BUSY
07/01/14,07:05 PM,07:05 PM,D-backs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/01/14,07/01/14,10:05 PM,10:05 PM,FALSE,TRUE,07/01/14,06:05 PM,06:05 PM,FREE,BUSY
07/02/14,07:05 PM,07:05 PM,D-backs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/02/14,07/02/14,10:05 PM,10:05 PM,FALSE,TRUE,07/02/14,06:05 PM,06:05 PM,FREE,BUSY
07/03/14,07:05 PM,07:05 PM,D-backs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/03/14,07/03/14,10:05 PM,10:05 PM,FALSE,TRUE,07/03/14,06:05 PM,06:05 PM,FREE,BUSY
07/04/14,05:05 PM,05:05 PM,Phillies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/04/14,07/04/14,08:05 PM,08:05 PM,FALSE,TRUE,07/04/14,04:05 PM,04:05 PM,FREE,BUSY
07/05/14,04:05 PM,04:05 PM,Phillies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/05/14,07/05/14,07:05 PM,07:05 PM,FALSE,TRUE,07/05/14,03:05 PM,03:05 PM,FREE,BUSY
07/06/14,01:35 PM,01:35 PM,Phillies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/06/14,07/06/14,04:35 PM,04:35 PM,FALSE,TRUE,07/06/14,12:35 PM,12:35 PM,FREE,BUSY
07/07/14,08:15 PM,08:15 PM,Pirates at Cardinals,Busch Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/07/14,07/07/14,11:15 PM,11:15 PM,FALSE,TRUE,07/07/14,07:15 PM,07:15 PM,FREE,BUSY
07/08/14,08:15 PM,08:15 PM,Pirates at Cardinals,Busch Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/08/14,07/08/14,11:15 PM,11:15 PM,FALSE,TRUE,07/08/14,07:15 PM,07:15 PM,FREE,BUSY
07/09/14,08:15 PM,08:15 PM,Pirates at Cardinals,Busch Stadium,"Local Radio: KDKA-FM 93.7",07/09/14,07/09/14,11:15 PM,11:15 PM,FALSE,TRUE,07/09/14,07:15 PM,07:15 PM,FREE,BUSY
07/10/14,07:15 PM,07:15 PM,Pirates at Cardinals,Busch Stadium,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/10/14,07/10/14,10:15 PM,10:15 PM,FALSE,TRUE,07/10/14,06:15 PM,06:15 PM,FREE,BUSY
07/11/14,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/11/14,07/11/14,10:10 PM,10:10 PM,FALSE,TRUE,07/11/14,06:10 PM,06:10 PM,FREE,BUSY
07/12/14,07:15 PM,07:15 PM,Pirates at Reds,Great American Ball Park,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",07/12/14,07/12/14,10:15 PM,10:15 PM,FALSE,TRUE,07/12/14,06:15 PM,06:15 PM,FREE,BUSY
07/13/14,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/13/14,07/13/14,04:10 PM,04:10 PM,FALSE,TRUE,07/13/14,12:10 PM,12:10 PM,FREE,BUSY
07/15/14,03:33 AM,03:33 AM,NL All-Stars at AL All-Stars,Target Field,,07/15/14,07/15/14,06:33 AM,06:33 AM,FALSE,TRUE,07/15/14,02:33 AM,02:33 AM,FREE,BUSY
