START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
08/11/14,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/11/14,08/11/14,10:05 PM,10:05 PM,FALSE,TRUE,08/11/14,06:05 PM,06:05 PM,FREE,BUSY
08/12/14,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/12/14,08/12/14,10:05 PM,10:05 PM,FALSE,TRUE,08/12/14,06:05 PM,06:05 PM,FREE,BUSY
08/13/14,07:08 PM,07:08 PM,Pirates at Tigers,Comerica Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/13/14,08/13/14,10:08 PM,10:08 PM,FALSE,TRUE,08/13/14,06:08 PM,06:08 PM,FREE,BUSY
08/14/14,01:08 PM,01:08 PM,Pirates at Tigers,Comerica Park,"Local Radio: KDKA-FM 93.7",08/14/14,08/14/14,04:08 PM,04:08 PM,FALSE,TRUE,08/14/14,12:08 PM,12:08 PM,FREE,BUSY
08/15/14,07:05 PM,07:05 PM,Pirates at Nationals,Nationals Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/15/14,08/15/14,10:05 PM,10:05 PM,FALSE,TRUE,08/15/14,06:05 PM,06:05 PM,FREE,BUSY
08/16/14,07:05 PM,07:05 PM,Pirates at Nationals,Nationals Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/16/14,08/16/14,10:05 PM,10:05 PM,FALSE,TRUE,08/16/14,06:05 PM,06:05 PM,FREE,BUSY
08/17/14,05:05 PM,05:05 PM,Pirates at Nationals,Nationals Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/17/14,08/17/14,08:05 PM,08:05 PM,FALSE,TRUE,08/17/14,04:05 PM,04:05 PM,FREE,BUSY
08/18/14,07:05 PM,07:05 PM,Braves at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/18/14,08/18/14,10:05 PM,10:05 PM,FALSE,TRUE,08/18/14,06:05 PM,06:05 PM,FREE,BUSY
08/19/14,07:05 PM,07:05 PM,Braves at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/19/14,08/19/14,10:05 PM,10:05 PM,FALSE,TRUE,08/19/14,06:05 PM,06:05 PM,FREE,BUSY
08/20/14,07:05 PM,07:05 PM,Braves at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/20/14,08/20/14,10:05 PM,10:05 PM,FALSE,TRUE,08/20/14,06:05 PM,06:05 PM,FREE,BUSY
08/22/14,08:10 PM,08:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/22/14,08/22/14,11:10 PM,11:10 PM,FALSE,TRUE,08/22/14,07:10 PM,07:10 PM,FREE,BUSY
08/23/14,07:10 PM,07:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/23/14,08/23/14,10:10 PM,10:10 PM,FALSE,TRUE,08/23/14,06:10 PM,06:10 PM,FREE,BUSY
08/24/14,02:10 PM,02:10 PM,Pirates at Brewers,Miller Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/24/14,08/24/14,05:10 PM,05:10 PM,FALSE,TRUE,08/24/14,01:10 PM,01:10 PM,FREE,BUSY
08/25/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/25/14,08/25/14,10:05 PM,10:05 PM,FALSE,TRUE,08/25/14,06:05 PM,06:05 PM,FREE,BUSY
08/26/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/26/14,08/26/14,10:05 PM,10:05 PM,FALSE,TRUE,08/26/14,06:05 PM,06:05 PM,FREE,BUSY
